text,Topic,Subtopic
I made a transfer the day before yesterday within this country. It is still not showing up at all. I have double-checked and the account number is certainly right. I've actually type this multiple times. can you look into what is going on here?,Other,Scam
The exchange rate for case abroad is applied wrong.,Funds,Funds Exchange Issues
Where in the app do I go to verify my identity?,Account,Identity Verification
If my identy verifacation hasn't gone through can I use my account?,Account,Identity Verification
I tried to top up and suddenly my money disappeared,Funds,Top Up Issues
"Hello, I was just went through my recent transaction on my bank account and I just noticed that I was charged twice at a place that ate at this past week. Can I get that second transaction removed from my account?",Funds,Funds Transfer Issues
need my details changed,Account,Account Info Change
Why did I only get $20 now the full amount I wanted?,Funds,Funds Fees Issues
My contactless is non-functional.,Other,Unsupported Talk
Am I allowed to hold money in multiple currencies?,Card,Card Info
"I'm not happy, I want to close my account.",Funds,Top Up Issues
Can I use Apple Pay to top-up?,Funds,Top Up Info
My disposable virtual card was rejected.,Card,Card Issues
I think there has been a mistake on my exchange rate for this purchase.,Funds,Funds Exchange Issues
tell me why I was charged more with my card?,Funds,Funds Fees Issues
Is my PIN sent separably?,Account,Reset PIN
I tried to make a transfer and it failed.,Funds,Funds Transfer Issues
IS there a fee to exchange currency?,Funds,Funds Fees
I need help- I got mugged yesterday and they took everything so I can't use the app.,Card,Card Block
What is the greatest number of times that I can top-up?,Funds,Top Up Info
Why hasn't my ID been verified?,Account,Identity Verification
Where are the virtual cards?,Card,Card Info
My card payment doesn't work.,Funds,Funds Wrong Debit
What should I do if I can't use my card?,Card,Card Issues
How do a reverse a duplicated charge?,Funds,Funds Transfer Cancel
I believe that my transfer hasn't gone through.,Account,Account Info Change
"With my new card, how may I activate it?",Card,Card Activation
I have a cash withdrawal that I do not recognise.,Funds,Funds Wrong Debit
I do not recognize the card payment.,Funds,Funds Wrong Debit
Is there a way to reset my PIN?,Account,Reset PIN
When I was drunk I got my card stuck in your machine because i mis-typed my PIN. What do I need to do to get it restored?,Card,ATM Card Issues
What can I do to make my physical card work?,Card,Card Issues
How do you determine your exchange rates?,Funds,Funds Exchange Info
check chase bank for my checking balance,Funds,Funds Balance
I just got my card and cannot get it to work.,Card,Card Issues
What currency is acceptable for a top up?,Funds,Top Up Info
"The transfer finally worked, but how long does it stay pending?",Funds,Funds Pending Issues
I have lost my phone or it has been stolen.,Account,Account Suspend
When will the cash that I put in the ATM be cleared from pending status?,Funds,Funds Pending Issues
How do I active this card?,Funds,Withdraw Issues
do i have enough money in my first hawaiian bank account for a vacation,Other,Unsupported Talk
i need to change my pin number for my savings account,Funds,Funds Transfer Cancel
am suspicious of my card's security,Other,Scam
i have a pending top-up,Funds,Funds Pending Issues
Will you charge me if I top up by card?,Funds,Top Up Info
Thanks for the service,Other,Small Talk
Where to check top ups pending?,Funds,Top Up Info
I need to withdraw money. Where can I do that?,Funds,Withdraw Issues
Why have I been charged a small fee to use my card?,Funds,Funds Fees
Can I update my details?,Account,Account Info Change
why was a extra fee added to my account for transfer ?,Funds,Funds Fees
Where do I go to reset my passcode?,Account,Reset Account Password
"While getting cash, I was charged a fee.",Funds,Funds Fees Issues
will the amount in my chase bank account right now cover the cost of a new dryer,Funds,Funds Balance
What is happening?  I have tried to transfer money 5x already.  Is the system down?  This shouldnt be happening as this is a basic transfer.,Funds,Funds Transfer
I want to get a virtual card!,Card,Card Order
I seem to be unable to make any transactions.,Funds,Funds Transfer Issues
"Hi, I'm in progress of purchasing a flat and am trying to make to make a payment.  An error is appearing, and I need assistance.",Funds,Funds Transfer Issues
What is the present state of the exchange rate?,Funds,Funds Exchange Info
How can I activate my new card? I didn't recieve any information with it about how to do so.,Card,Card Activation
Am I going to see a charge for a SEPA transfer?,Funds,Funds Transfer
I tried activating my card and it doesn't work how do I solve this problem?,Card,Card Activation
There is a weird payment in my statement.,Funds,Funds Wrong Debit
I don't recognize what this payment on my statement would be for.,Funds,Funds Transfer Info
I just got an email in confirming my purchase with my card. I login to the mobile app on the card and found out there are several purchase were made without me aware of it. Evidently someone had stole my card information and made these fraudulent purchase. I need the transaction to be reverse and have my card suspended.,Other,Scam
I'd like to use my American Express to place money into my account.,Funds,Funds Transfer
"No, I need it on Tuesday",Card,Card Order
How to access my virtual card,Card,Card Info
"There are charges on my card from the past few day I am pretty sure I didnt make, can you please freeze it for me? How do I get my money returned since it wasnt me?",Funds,Funds Wrong Debit
"When I tried to top up using my card, all of the money disappeared.",Funds,Top Up Issues
My card doesn't work. I can't get cash out at an ATM,Card,ATM Card Issues
The exchange rate for my card payment doesn't seem right.,Funds,Funds Exchange Info
Good morning,Other,Small Talk
What should I do if I think someone is using my card without my permission?,Other,Scam
Is there a charge for cash withdrawals? I always thought it was free.,Funds,Funds Fees
Can I re-link a lost card with the app?,Card,Card Order
What's the fee for exchange of foreign currencies?,Funds,Funds Fees
My app is displaying a payment I didn't make,Funds,Funds Wrong Debit
why must I prove ID,Account,Identity Verification
What is the most that I can top-up to a card?,Funds,Top Up Info
Why am I getting double charged for multiple transactions?,Funds,Funds Fees Issues
My balance doesn't include my latest transfer,Funds,Funds Transfer
Can currencies be exchanged on this app?,Funds,Funds Exchange Info
"I have been double charged for a couple of things this week, and would appreciate a refund for the duplicate charges.",Funds,Funds Fees Issues
whats the quickest way to money from one account to another,Funds,Funds Transfer
how long does it take for a transfer from Europe to go through?,Funds,Funds Transfer
is apple pay a top up service?,Funds,Top Up Info
Does it cost to top up my card?,Funds,Top Up Info
"I needed cash today, so I used another provider's ATM, and when I attempted to withdraw, it declined. I just checked it out and I'm still showing my account with that amount pending! I didn't take any money out, it was declined, so I don't want that to be processed as a withdrawal.",Funds,Funds Pending Issues
what 's my bank balance,Funds,Funds Balance
My payment didn't work and the money is in back in my account.,Funds,Funds Transfer Issues
I need to transfer funds from China and quick expedition is crucial. Approximately how long does it take for a transfer from China to go through?,Funds,Funds Transfer
"I no longer have my phone, what should I do?",Account,Account Info Change
I want to revert a transaction I did,Card,Card Delivery
Can I get a physical card,Card,Card Order
no i dont want to make a transfer please let me speak with someone else,Funds,Funds Transfer
How long will a transfer from the US take?,Funds,Funds Transfer Info
want a new card what are the fees,Card,Card Order
Can you please explain why I was charged an extra fee for my transfer?,Funds,Funds Transfer
